Index,Occurence
0,12
1,48
2,24
3,24
4,0
5,12
6,12
7,12
8,12
9,0
10,12
11,24
12,0
13,24
14,24
15,0
16,0
17,0
18,12
19,0
20,12
21,0
22,48
23,0
24,12
25,12
26,24
27,0
28,12
29,0
30,12
31,0
32,0
33,12
34,24
35,12
36,12
37,12
38,0
39,0
40,0
41,12
42,0
43,12
44,0
45,24
46,24
47,0
48,0
49,12
50,0
51,12
52,0
53,12
54,0
55,0
56,12
57,0
58,12
59,24
60,12
61,0
62,24
63,0
64,0
65,0
66,0
67,12
68,36
69,0
70,12
71,24
72,0
73,24
74,24
75,12
76,12
77,12
78,12
79,0
80,12
81,24
82,12
83,12
84,48
85,0
86,0
87,0
88,24
89,0
90,24
91,12
92,24
93,0
94,48
95,0
96,12
97,24
98,12
99,36
100,0
101,0
102,24
103,12
104,0
105,12
106,0
107,12
108,24
109,24
110,24
111,0
112,48
113,12
114,12
115,12
116,12
117,0
118,0
119,12
120,0
121,0
122,12
123,12
124,36
125,12
126,12
127,0
128,12
129,0
130,0
131,0
132,0
133,12
134,24
135,24
136,12
137,48
138,12
139,12
140,0
141,0
142,12
143,12
144,12
145,0
146,12
147,0
148,24
149,12
150,12
151,24
152,12
153,48
154,12
155,12
156,0
157,12
158,24
159,0
160,12
161,24
162,12
163,12
164,24
165,12
166,0
167,12
168,0
169,0
170,12
171,0
172,0
173,0
174,0
175,24
176,24
177,0
178,24
179,12
180,0
181,24
182,0
183,0
184,0
185,12
186,48
187,0
188,24
189,0
190,0
191,12
192,0
193,0
194,24
195,12
196,12
197,0
198,12
199,12
200,24
201,12
202,12
203,0
204,0
205,48
206,0
207,12
208,12
209,12
210,24
211,0
212,36
213,24
214,12
215,12
216,24
217,12
218,0
219,0
220,0
221,0
222,24
223,0
224,12
225,12
226,24
227,12
228,0
229,0
230,12
231,0
232,24
233,12
234,12
235,0
236,24
237,24
238,12
239,12
240,24
241,24
242,0
243,12
244,0
245,0
246,12
247,0
248,12
249,12
250,0
251,12
252,12
253,12
254,24
255,12
256,0
257,0
258,60
259,12
260,12
261,36
262,0
263,24
264,0
265,36
266,24
267,0
268,12
269,60
270,12
271,0
272,24
273,12
274,0
275,0
276,0
277,36
278,12
279,12
280,0
281,12
282,48
283,0
284,12
285,0
286,0
287,12
288,0
289,12
290,12
291,24
292,0
293,12
294,0
295,0
296,0
297,12
298,12
299,0
300,0
301,0
302,12
303,0
304,12
305,0
306,36
307,0
308,0
309,12
310,0
311,12
312,12
313,0
314,12
315,36
316,24
317,12
318,0
319,0
320,0
321,12
322,0
323,0
324,12
325,12
326,12
327,12
328,12
329,12
330,0
331,12
332,36
333,0
334,12
335,0
336,12
337,0
338,0
339,12
340,12
341,0
342,24
343,12
344,0
345,12
346,36
347,0
348,12
349,12
350,12
351,0
352,0
353,0
354,0
355,0
356,12
357,12
358,24
359,24
360,24
361,12
362,36
363,0
364,24
365,0
366,0
367,12
368,0
369,12
370,0
371,12
372,0
373,12
374,12
375,0
376,0
377,12
378,0
379,0
380,12
381,12
382,24
383,0
384,12
385,36
386,36
387,0
388,12
389,0
390,0
391,12
392,0
393,0
394,36
395,0
396,0
397,0
398,0
399,0
400,0
401,12
402,0
403,0
404,0
405,0
406,12
407,0
408,12
409,12
410,0
411,24
412,24
413,0
414,12
415,12
416,0
417,0
418,0
419,36
420,24
421,0
422,0
423,12
424,24
425,12
426,24
427,24
428,24
429,12
430,12
431,48
432,12
433,0
434,12
435,0
436,12
437,36
438,0
439,0
440,0
441,0
442,0
443,0
444,24
445,12
446,36
447,12
448,12
449,0
450,0
451,12
452,0
453,12
454,24
455,24
456,0
457,12
458,12
459,24
460,0
461,0
462,0
463,24
464,0
465,24
466,12
467,24
468,12
469,24
470,0
471,12
472,24
473,36
474,12
475,0
476,24
477,12
478,0
479,0
480,12
481,0
482,12
483,12
484,12
485,24
486,0
487,12
488,12
489,36
490,24
491,36
492,36
493,24
494,12
495,12
496,12
497,12
498,48
499,24
500,0
501,24
502,12
503,0
504,12
505,12
506,24
507,36
508,12
509,36
510,12
511,36
512,12
513,0
514,0
515,0
516,12
517,24
518,0
519,12
520,36
521,24
522,12
523,0
524,0
525,0
526,12
527,12
528,12
529,48
530,0
531,36
532,0
533,24
534,12
535,12
536,24
537,0
538,0
539,24
540,0
541,0
542,12
543,36
544,36
545,24
546,12
547,12
548,36
549,12
550,12
551,0
552,24
553,12
554,24
555,24
556,0
557,12
558,0
559,12
560,12
561,36
562,48
563,36
564,36
565,0
566,12
567,12
568,0
569,12
570,24
571,12
572,0
573,12
574,36
575,0
576,0
577,24
578,0
579,12
580,0
581,12
582,0
583,48
584,24
585,12
586,0
587,0
588,0
589,36
590,24
591,12
592,24
593,0
594,0
595,12
596,12
597,36
598,0
599,24
600,12
601,0
602,24
603,36
604,12
605,0
606,12
607,12
608,0
609,36
610,24
611,12
612,24
613,12
614,0
615,12
616,0
617,12
618,0
619,0
620,12
621,0
622,0
623,0
624,12
625,36
626,0
627,12
628,0
629,36
630,0
631,12
632,24
633,24
634,0
635,24
636,24
637,0
638,12
639,12
640,24
641,12
642,12
643,12
644,0
645,24
646,0
647,12
648,0
649,0
650,0
651,12
652,12
653,0
654,0
655,0
656,24
657,0
658,0
659,0
660,0
661,24
662,12
663,12
664,48
665,12
666,24
667,36
668,24
669,0
670,12
671,12
672,12
673,12
674,12
675,12
676,0
677,0
678,36
679,12
680,36
681,0
