Index,Pourcentage
0,0.09763714
1,0.09767899
2,0.09767217
3,0.09765956
4,0.09766325
5,0.09765337
6,0.09764254
7,0.09763153
8,0.09767330
9,0.09766204
10,0.09766259
11,0.09766040
12,0.09765266
13,0.09767703
14,0.09767612
15,0.09766842
16,0.09764688
17,0.09766263
18,0.09767533
19,0.09764853
20,0.09766307
21,0.09766209
22,0.09765957
23,0.09764259
24,0.09764296
25,0.09765740
26,0.09767435
27,0.09764346
28,0.09767657
29,0.09768827
30,0.09764631
31,0.09764571
32,0.09766680
33,0.09765325
34,0.09766869
35,0.09765956
36,0.09765089
37,0.09764254
38,0.09763894
39,0.09766282
40,0.09765500
41,0.09763940
42,0.09767051
43,0.09766201
44,0.09767071
45,0.09765460
46,0.09765204
47,0.09764551
48,0.09766041
49,0.09767094
50,0.09765989
51,0.09763561
52,0.09765654
53,0.09766692
54,0.09766424
55,0.09767092
56,0.09768307
57,0.09764382
58,0.09767397
59,0.09764523
60,0.09765149
61,0.09765645
62,0.09768094
63,0.09766283
64,0.09764800
65,0.09765463
66,0.09766609
67,0.09765763
68,0.09766729
69,0.09766753
70,0.09765103
71,0.09764460
72,0.09766837
73,0.09765408
74,0.09763058
75,0.09765427
76,0.09766451
77,0.09764493
78,0.09767461
79,0.09767025
80,0.09765201
81,0.09766296
82,0.09764817
83,0.09765426
84,0.09767388
85,0.09764935
86,0.09766659
87,0.09764213
88,0.09766211
89,0.09766265
90,0.09766143
91,0.09766513
92,0.09766086
93,0.09766825
94,0.09763172
95,0.09766240
96,0.09763518
97,0.09766550
98,0.09765623
99,0.09763413
100,0.09760360
101,0.09764958
102,0.09765949
103,0.09765854
104,0.09765428
105,0.09767191
106,0.09769973
107,0.09765925
108,0.09766703
109,0.09765567
110,0.09765767
111,0.09764425
112,0.09766081
113,0.09765790
114,0.09764937
115,0.09765749
116,0.09767795
117,0.09766581
118,0.09764800
119,0.09766756
120,0.09765793
121,0.09764564
122,0.09765115
123,0.09765880
124,0.09763104
125,0.09765108
126,0.09766607
127,0.09765515
128,0.09764902
129,0.09764358
130,0.09766373
131,0.09766189
132,0.09768499
133,0.09764327
134,0.09763538
135,0.09765891
136,0.09766462
137,0.09765632
138,0.09763062
139,0.09763722
140,0.09764773
141,0.09765266
142,0.09765100
143,0.09765581
144,0.09765736
145,0.09765522
146,0.09766394
147,0.09766969
148,0.09764240
149,0.09766021
150,0.09766964
151,0.09763901
152,0.09764233
153,0.09763764
154,0.09764402
155,0.09764958
156,0.09765554
157,0.09763491
158,0.09764971
159,0.09764062
160,0.09765323
161,0.09764955
162,0.09764667
163,0.09768795
164,0.09768027
165,0.09765163
166,0.09766310
167,0.09766338
168,0.09764463
169,0.09765321
170,0.09762717
171,0.09764015
172,0.09765997
173,0.09765512
174,0.09767746
175,0.09765419
176,0.09766807
177,0.09764463
178,0.09766603
179,0.09767136
180,0.09766220
181,0.09765357
182,0.09765380
183,0.09765450
184,0.09765925
185,0.09765745
186,0.09763042
187,0.09766448
188,0.09765134
189,0.09765756
190,0.09766203
191,0.09763986
192,0.09764663
193,0.09769986
194,0.09764202
195,0.09763231
196,0.09766739
197,0.09766051
198,0.09766996
199,0.09763975
200,0.09766696
201,0.09766013
202,0.09767594
203,0.09765649
204,0.09767581
205,0.09766764
206,0.09767636
207,0.09766185
208,0.09765360
209,0.09763508
210,0.09766126
211,0.09764489
212,0.09763437
213,0.09766005
214,0.09765414
215,0.09764760
216,0.09764781
217,0.09764246
218,0.09764352
219,0.09766048
220,0.09767012
221,0.09765929
222,0.09764706
223,0.09765550
224,0.09765803
225,0.09765190
226,0.09766522
227,0.09764953
228,0.09766869
229,0.09765205
230,0.09765608
231,0.09765655
232,0.09763564
233,0.09765502
234,0.09766553
235,0.09766234
236,0.09766309
237,0.09767008
238,0.09767268
239,0.09765173
240,0.09766777
241,0.09768161
242,0.09765602
243,0.09763969
244,0.09764646
245,0.09767338
246,0.09766135
247,0.09768685
248,0.09766041
249,0.09765207
250,0.09765183
251,0.09764657
252,0.09765597
253,0.09766957
254,0.09763684
255,0.09766698
256,0.09765844
257,0.09764982
258,0.09768226
259,0.09764974
260,0.09766805
261,0.09766861
262,0.09767009
263,0.09765649
264,0.09765108
265,0.09765543
266,0.09765750
267,0.09766888
268,0.09766581
269,0.09765209
270,0.09766960
271,0.09764904
272,0.09766072
273,0.09765260
274,0.09763811
275,0.09766830
276,0.09765233
277,0.09766766
278,0.09767382
279,0.09763731
280,0.09765127
281,0.09763660
282,0.09765482
283,0.09765072
284,0.09764013
285,0.09765001
286,0.09765889
287,0.09767129
288,0.09765540
289,0.09764259
290,0.09766662
291,0.09765730
292,0.09765077
293,0.09768016
294,0.09765355
295,0.09766359
296,0.09766983
297,0.09763687
298,0.09766105
299,0.09764354
300,0.09768778
301,0.09764864
302,0.09765355
303,0.09765770
304,0.09768164
305,0.09765476
306,0.09764577
307,0.09763143
308,0.09763906
309,0.09765501
310,0.09768288
311,0.09766572
312,0.09765427
313,0.09765697
314,0.09768297
315,0.09765441
316,0.09764468
317,0.09767208
318,0.09764993
319,0.09765904
320,0.09765118
321,0.09765234
322,0.09763641
323,0.09765666
324,0.09763599
325,0.09765420
326,0.09766221
327,0.09763911
328,0.09766742
329,0.09765471
330,0.09765086
331,0.09767334
332,0.09767840
333,0.09764218
334,0.09766340
335,0.09766431
336,0.09766751
337,0.09765350
338,0.09765871
339,0.09765768
340,0.09767235
341,0.09765251
342,0.09763725
